Animal_Number,year,month,age,Lactation_Number,Days_In_Milk,RT_mean,RT_variance,AT_mean,AT_variance,temperature_mean,temperature_variance,humidity_mean,humidity_variance,solarradiation_mean,solarradiation_variance,THI_mean,THI_variance,MY1,MY2
57001,2023,12,2.42465753424658,1,182,495.933333333333,18273.3523809524,469.866666666667,15715.5523809524,49.7066666666667,16.9992380952381,72.5066666666667,47.4749523809524,87.64,528.295428571428,34.3417273333333,30.5519729852197,39.63940488,39.7139235657143
57009,2023,7,2.02465753424658,1,58,490.533333333333,18414.980952381,470.266666666667,26039.780952381,84.58,9.03314285714285,40.2266666666667,21.3449523809524,300.24,817.304,69.5204426666667,9.54961705670495,24.61643784,34.4814158514286
57013,2023,12,2.4,1,179,540.8,21930.0285714286,491.666666666667,15300.9523809524,48.78,14.8631428571429,69.4666666666667,18.8223809523809,93.2466666666667,272.056952380952,32.3218014666667,15.0546368873893,31.57907504,30.71725024
57016,2023,10,2.26301369863014,1,132,498.733333333333,18811.0666666667,472.6,15608.1142857143,66.6666666666667,12.3095238095238,59.92,72.5831428571429,166.4,1007.52142857143,49.2929982666667,9.41607271720206,26.78007168,32.9016197142857
57022,2024,3,2.63287671232877,1,220,500.8,15795.0285714286,381.666666666667,9570.38095238095,53.6533333333333,3.75695238095238,72.2933333333333,6.04780952380952,168.12,2017.34742857143,37.8414962666667,4.44981717306448,30.504062,36.5258197942857
57039,2023,11,2.32876712328767,1,176,498.733333333333,19476.9238095238,490.6,15792.1142857143,55.8066666666667,13.2549523809524,62.62,113.957428571429,124.206666666667,902.514952380952,39.0316908666667,18.8321234409313,26.44894952,31.3781985828571
57050,2023,8,2.07123287671233,1,76,391.666666666667,12482.5238095238,527.333333333333,19558.0952380952,82.28,11.1531428571429,48.8733333333333,11.3206666666667,283.486666666667,1053.21552380952,64.9582831333333,11.7177403775993,35.84283984,34.3453382514286
57058,2023,8,2.07123287671233,1,77,410.533333333333,17330.5523809524,504.866666666667,17405.8380952381,82.28,11.1531428571429,48.8733333333333,11.3206666666667,283.486666666667,1053.21552380952,64.9582831333333,11.7177403775993,44.28872288,36.79538304
57059,2023,10,2.25479452054795,1,148,526.0,22914.8571428571,477.0,14735.8571428571,66.6666666666667,12.3095238095238,59.92,72.5831428571429,166.4,1007.52142857143,49.2929982666667,9.41607271720206,52.47605848,48.29847616
57078,2023,11,2.28493150684932,1,157,484.133333333333,31537.6952380952,454.0,28191.4285714286,58.2333333333333,14.9238095238095,56.6066666666667,81.6920952380952,136.046666666667,107.875523809524,40.8755306,16.5589960098894,30.16840392,28.6948779085714
57088,2023,11,2.3041095890411,1,134,466.066666666667,31776.0666666667,456.8,28942.6,57.6266666666667,15.5635238095238,57.9333333333333,116.228095238095,138.753333333333,98.6155238095238,40.5892316,16.2213851219343,38.8728344,42.1082413371429
57092,2024,5,2.76712328767123,1,255,527.466666666667,18569.5523809524,439.466666666667,12744.2666666667,64.2266666666667,9.31066666666668,57.1933333333333,54.2392380952381,304.4,2834.46,46.6114566,9.6834952190824,41.75767952,39.8986003085714
57103,2023,12,2.38082191780822,1,181,509.333333333333,15820.2380952381,438.133333333333,12420.8380952381,48.78,14.8631428571429,69.4666666666667,18.8223809523809,93.2466666666667,272.056952380952,32.3218014666667,15.0546368873893,40.83688776,45.0449255428571
57107,2023,9,2.13424657534247,1,90,542.066666666667,2563.06666666667,518.866666666667,1110.69523809524,75.6933333333333,6.4992380952381,51.3266666666667,42.386380952381,237.886666666667,1095.4340952381,58.3126946,10.1265504052008,37.33969344,39.5085111885714
57108,2024,2,2.55342465753425,1,238,610.933333333333,1762.35238095238,536.466666666667,445.552380952381,50.76,18.3654285714286,77.0333333333333,31.7952380952381,110.713333333333,2236.50980952381,36.8229523333333,17.8313299209512,29.32018688,37.0247709942857
57116,2023,7,1.98630136986301,1,45,452.5,23202.1153846154,531.642857142857,23708.7087912088,85.1928571428572,11.0868681318681,42.9428571428571,19.0918681318681,308.464285714286,1335.44554945055,69.2705897142857,13.4793845689365,41.87107752,42.63311208
57119,2023,10,2.21917808219178,1,138,503.933333333333,18170.6380952381,447.8,13499.6,69.0533333333333,21.7898095238095,54.3533333333333,24.2455238095238,185.166666666667,287.186666666667,51.2424552666667,22.9371754290128,55.59223552,45.5937718628571
57122,2023,8,2.05479452054795,1,57,461.866666666667,16064.6952380952,434.6,13645.4,82.28,11.1531428571429,48.8733333333333,11.3206666666667,283.486666666667,1053.21552380952,64.9582831333333,11.7177403775993,37.24897504,37.1602006057143
57132,2023,11,2.30684931506849,1,172,506.133333333333,37318.5523809524,422.466666666667,25177.8380952381,55.8066666666667,13.2549523809524,62.62,113.957428571429,124.206666666667,902.514952380952,39.0316908666667,18.8321234409313,48.83825064,39.6523646514286
57134,2023,12,2.40821917808219,1,209,501.066666666667,17516.2095238095,449.8,13742.6,52.5333333333333,19.1009523809524,76.1,119.051428571429,67.3666666666667,887.816666666667,39.0450475333333,43.8100596019408,37.06300232,38.2533573257143
57137,2023,12,2.39178082191781,1,175,530.066666666667,46215.3523809524,392.133333333333,21243.1238095238,50.04,33.2725714285714,71.1533333333333,105.611238095238,78.1466666666667,1096.79266666667,34.8208099333333,70.9566486474697,38.4192424,38.9039378514286
57164,2023,10,2.20821917808219,1,128,530.666666666667,20131.8095238095,481.133333333333,15067.6952380952,69.0533333333333,21.7898095238095,54.3533333333333,24.2455238095238,185.166666666667,287.186666666667,51.2424552666667,22.9371754290128,32.45904352,37.2347192914286
57183,2023,9,2.0986301369863,1,98,515.133333333333,20837.5523809524,443.0,12688.4285714286,76.1866666666667,8.65266666666667,50.66,37.2082857142857,250.24,1179.464,58.8404036666667,12.3094586862868,40.66905872,40.4234710514286
57190,2024,2,2.55890410958904,1,229,583.466666666667,1511.98095238095,450.733333333333,165.352380952381,53.6333333333333,15.1238095238095,74.6666666666667,13.2895238095238,159.373333333333,1964.7420952381,38.6523952,14.300870770529,41.3222312,43.2499972
57191,2023,9,2.07945205479452,1,69,539.866666666667,21446.6952380952,420.0,11340.5714285714,77.2466666666667,8.56838095238095,53.44,61.4554285714286,239.033333333333,2675.39952380952,59.8397474666667,10.7483159474197,33.00788984,36.0540841142857
57206,2024,3,2.6027397260274,1,275,501.933333333333,18087.780952381,368.133333333333,9158.26666666667,53.6466666666667,3.53409523809524,70.7466666666667,27.0612380952381,178.666666666667,2523.23095238095,37.5911385333333,3.92519642514668,32.48172312,38.5987352342857
57228,2024,3,2.63835616438356,1,282,572.333333333333,20905.5238095238,410.6,11008.1142857143,57.8466666666667,10.8226666666667,65.5,58.99,221.68,1427.88171428571,40.9537092666667,6.44875863592608,27.12933752,33.2962447542857
57233,2023,10,2.22191780821918,1,69,607.933333333333,4755.49523809524,505.866666666667,1389.98095238095,63.8066666666667,46.9306666666667,60.9266666666667,59.4306666666667,153.693333333333,859.529238095238,46.3752739333333,48.035586458273,35.08987712,38.6991734628571
57262,2024,4,2.68767123287671,1,269,416.333333333333,15029.5238095238,477.266666666667,15276.780952381,57.6866666666667,59.3726666666667,68.5866666666667,33.9040952380952,251.193333333333,5156.42066666667,41.1621425333333,50.1727566692224,22.84289312,28.2211982628571
57268,2023,8,2.04383561643836,1,68,477.133333333333,4995.83809523809,472.733333333333,7118.49523809524,81.1666666666667,14.4380952380952,53.4533333333333,38.8212380952381,253.34,2538.37257142857,63.5496108,14.3197236818423,43.0232012,40.48762192
57271,2023,9,2.11232876712329,1,98,459.933333333333,15264.6380952381,429.4,12477.4,74.1466666666667,12.9026666666667,52.8266666666667,44.5092380952381,223.193333333333,639.042095238095,56.6328201333333,18.2315242082727,48.20775776,42.8417644
57273,2023,12,2.35890410958904,1,183,564.866666666667,42978.5523809524,391.733333333333,21225.9238095238,50.04,33.2725714285714,71.1533333333333,105.611238095238,78.1466666666667,1096.79266666667,34.8208099333333,70.9566486474697,30.59931632,42.3013419314286
57350,2023,9,2.04657534246575,1,61,524.8,20192.6,406.0,11264.5714285714,77.2466666666667,8.56838095238095,53.44,61.4554285714286,239.033333333333,2675.39952380952,59.8397474666667,10.7483159474197,43.9077056,40.1778833828571
57356,2023,9,2.11780821917808,1,88,530.466666666667,24019.8380952381,459.933333333333,23286.4952380952,69.74,7.15114285714285,57.96,16.0282857142857,206.38,545.260285714286,51.7771012,5.82941762208374,40.70081016,40.1461319428571
57368,2024,3,2.53698630136986,1,229,593.8,26208.7428571429,382.466666666667,8973.69523809524,55.22,7.04742857142857,72.8,6.74857142857142,170.806666666667,1834.96638095238,39.5683728,6.07070221992216,32.12338544,36.6022824457143
57376,2023,12,2.30684931506849,1,118,478.2,21220.6,432.0,13050.4285714286,49.5866666666667,11.7569523809524,69.1266666666667,27.3678095238095,94.6866666666667,340.058380952381,33.1261427333333,10.3901832165808,34.4276328,32.0475707771429
57383,2023,11,2.23835616438356,1,143,477.333333333333,34748.2380952381,444.4,28061.1142857143,57.6266666666667,15.5635238095238,57.9333333333333,116.228095238095,138.753333333333,98.6155238095238,40.5892316,16.2213851219343,51.78659864,44.4345203085714
57389,2023,8,2.0,1,55,484.533333333333,15383.2666666667,443.133333333333,13124.4095238095,81.8933333333333,12.716380952381,49.9266666666667,29.3778095238095,270.633333333333,2902.99380952381,64.5753242,13.4123506172091,59.22097152,44.0962702742857
57404,2024,3,2.55068493150685,1,231,547.2,17881.1714285714,510.4,18208.1142857143,53.6533333333333,3.75695238095238,72.2933333333333,6.04780952380952,168.12,2017.34742857143,37.8414962666667,4.44981717306448,39.98867072,39.92970376
57520,2023,9,2.04383561643836,1,97,520.466666666667,1929.55238095238,447.266666666667,215.92380952381,75.6933333333333,6.4992380952381,51.3266666666667,42.386380952381,237.886666666667,1095.4340952381,58.3126946,10.1265504052008,39.74826696,41.7207441714286
57531,2024,2,2.46575342465753,1,221,645.666666666667,3717.66666666667,390.2,256.314285714286,50.9266666666667,21.3020952380952,77.5333333333333,31.7195238095238,115.086666666667,2737.57980952381,37.1875244,21.2098833333534,37.14011296,37.2010238857143
57533,2023,12,2.30684931506849,1,143,510.733333333333,18576.2095238095,483.133333333333,15608.980952381,50.54,32.8011428571429,71.68,116.708857142857,77.1733333333333,1094.62352380952,35.5713716,74.8288918215809,49.41431248,41.16800992
57540,2024,4,2.60821917808219,1,265,540.733333333333,21510.2095238095,421.466666666667,11507.6952380952,55.9666666666667,39.5480952380953,67.0866666666667,24.2140952380952,245.58,4598.05457142857,39.0373579333333,32.3492351674431,39.32189048,38.9512410171429
